id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,substitution_outcome,substitution_replacement,possession_team_id,team_id,player_id,substitution_outcome_id,substitution_replacement_id,off_camera
338015bc-3401-4d5c-9d03-c038bf702f44,3519,2,00:36:55.240,81,55,Substitution,124,England,From Throw In,Denmark,Christian Dannemann Eriksen,Right Wing,0.0,3930171,Tactical,Andreas Skov Olsen,768,776,3043,103,17042,
1823ca94-2b58-4117-8cf7-72e8d4863ae3,3520,2,00:36:59.562,81,59,Substitution,124,England,From Throw In,Denmark,Morten Hjulmand,Right Defensive Midfield,0.0,3930171,Tactical,Christian Nørgaard,768,776,8621,103,7097,
8bdae5eb-c181-41e9-9798-3324939f3292,2658,2,00:17:53.959,62,53,Substitution,92,England,Regular Play,Switzerland,Fabian Rieder,Right Attacking Midfield,0.0,3942227,Tactical,Steven Zuber,768,773,50436,103,5548,
a8bc6a68-881d-4f47-90eb-27675ac73a9a,2659,2,00:18:00.693,63,0,Substitution,92,England,Regular Play,Switzerland,Ruben Vargas,Left Attacking Midfield,0.0,3942227,Tactical,Silvan Widmer,768,773,30401,103,7796,
07016001-6378-4821-bcd9-d64e564bc34a,3146,2,00:32:18.573,77,18,Substitution,107,Switzerland,Regular Play,England,Kobbie Mainoo,Right Defensive Midfield,0.0,3942227,Tactical,Luke Shaw,773,768,99174,103,3382,
402b0fef-1ad6-4896-bc39-e02b7be1607e,3147,2,00:32:23.180,77,23,Substitution,107,Switzerland,Regular Play,England,Kieran Trippier,Left Wing Back,0.0,3942227,Tactical,Eberechi Eze,773,768,3308,103,9000,
620943c4-0381-405d-8391-e30658bd1cf7,3149,2,00:33:26.204,78,26,Substitution,108,Switzerland,From Throw In,England,Ezri Konsa Ngoyo,Left Center Back,0.0,3942227,Tactical,Cole Palmer,773,768,3822,103,39461,
23d982f8-b354-4355-9a11-14e7a778ae49,4001,3,00:07:40.899,97,40,Substitution,136,Switzerland,Regular Play,Switzerland,Dan Ndoye,Right Attacking Midfield,0.0,3942227,Tactical,Denis Lemi Zakaria Lako Lado,773,773,45190,103,5538,
35f4bde4-413b-456e-a964-f23e0d3b133b,4419,4,00:03:33.056,108,33,Substitution,148,Switzerland,Regular Play,Switzerland,Breel-Donald Embolo,Center Forward,0.0,3942227,Tactical,Xherdan Shaqiri,773,773,5545,103,3533,
ebd7aaa6-a67a-4115-8c8e-65b977be928c,4420,4,00:04:00.946,109,0,Substitution,148,Switzerland,Regular Play,England,Harry Kane,Center Forward,0.0,3942227,Tactical,Ivan Toney,773,768,10955,103,3834,
d73c6bd1-2496-4ccc-b1f2-6c2fc323006c,4647,4,00:09:00.310,114,0,Substitution,153,England,Regular Play,England,Phil Foden,Left Attacking Midfield,0.0,3942227,Tactical,Trent Alexander-Arnold,768,768,4354,103,3664,
00c2b013-73c4-47c1-a97b-3abdb32eca36,4737,4,00:12:31.316,117,31,Substitution,158,Switzerland,Regular Play,Switzerland,Michel Aebischer,Left Wing Back,0.0,3942227,Tactical,Mohamed Zeki Amdouni,773,773,16016,103,48335,
f2c5e695-3fdd-4114-91cd-af24bed4b687,4738,4,00:12:41.209,117,41,Substitution,158,Switzerland,Regular Play,Switzerland,Remo Freuler,Right Defensive Midfield,0.0,3942227,Tactical,Vincent Sierro,773,773,6983,103,11457,
e206cceb-bcf8-49f6-8f5b-842255f9ec0d,187,1,00:07:43.964,7,43,Substitution,12,Spain,From Free Kick,Spain,Pedro González López,Right Center Midfield,0.0,3942226,Injury,Daniel Olmo Carvajal,772,772,30486,102,16532,
4a03f2c1-9c2a-4e59-9e08-07bfefc47269,1704,2,00:00:00.000,45,0,Substitution,73,Germany,From Free Kick,Germany,Leroy Sané,Right Wing,0.0,3942226,Tactical,Florian Wirtz,770,770,3053,103,40724,
0a032f7b-b571-41bb-9433-52a74be49ae5,1705,2,00:00:00.000,45,0,Substitution,73,Germany,From Free Kick,Spain,Robin Aime Robert Le Normand,Right Center Back,0.0,3942226,Tactical,José Ignacio Fernández Iglesias,770,772,22128,103,5202,
cdd2dee0-2879-42f3-a90a-3a8f951a5296,1706,2,00:00:00.000,45,0,Substitution,73,Germany,From Free Kick,Germany,Emre Can,Right Defensive Midfield,0.0,3942226,Tactical,Robert Andrich,770,770,3493,103,9195,
b33cc1f7-0d04-4666-9bd5-a6222677de73,2069,2,00:11:13.007,56,13,Substitution,90,Spain,Regular Play,Germany,David Raum,Left Back,0.0,3942226,Tactical,Maximilian Mittelstädt,772,770,12034,103,12407,
8f58e9ff-0855-4bb4-a2e1-60bb36d8435d,2070,2,00:11:37.766,56,37,Substitution,90,Spain,Regular Play,Germany,İlkay Gündoğan,Center Attacking Midfield,0.0,3942226,Tactical,Niclas Füllkrug,772,770,10287,103,8546,
a1121e91-82f1-41ed-8715-a99423b7999b,2288,2,00:17:29.081,62,29,Substitution,100,Germany,From Throw In,Spain,Lamine Yamal Nasraoui Ebana,Right Wing,0.0,3942226,Tactical,Ferrán Torres García,770,772,316046,103,6748,
3dedce48-0f01-4a0b-a6b5-47defa701012,2911,2,00:34:10.281,79,10,Substitution,131,Spain,Regular Play,Spain,Álvaro Borja Morata Martín,Center Forward,0.0,3942226,Tactical,Mikel Oyarzabal Ugarte,772,772,3477,103,6685,
8bab6144-c821-4396-bbc3-5b28d8b721e8,2912,2,00:34:10.924,79,10,Substitution,131,Spain,Regular Play,Spain,Nicholas Williams Arthuer,Left Wing,0.0,3942226,Tactical,Mikel Merino Zazón,772,772,68574,103,3042,
7df53497-e054-47ee-89c2-8fc2e96664d3,2914,2,00:34:45.637,79,45,Substitution,132,Spain,From Throw In,Germany,Jonathan Tah,Left Center Back,0.0,3942226,Tactical,Thomas Müller,772,770,8221,103,5562,
0169575c-0c63-46ce-98a6-b2fb03c4e19d,3359,3,00:00:00.000,90,0,Substitution,158,Germany,From Free Kick,Germany,Kai Havertz,Right Center Forward,0.0,3942226,Tactical,Waldemar Anton,770,770,8966,103,8538,
e594cd3a-97da-4179-bc85-9cc35d5e0ab7,3796,3,00:11:47.570,101,47,Substitution,176,Germany,From Free Kick,Spain,Fabián Ruiz Peña,Left Center Midfield,0.0,3942226,Injury,José Luis Sanmartín Mato,770,772,6655,102,3265,
dcdb8a74-60a6-49e7-be72-eb0e5ffd780b,2321,2,00:12:25.091,57,25,Substitution,96,Belgium,Regular Play,Ukraine,Vitalii Mykolenko,Left Wing Back,0.0,3938645,Injury,Oleksandr Zinchenko,782,911,20827,102,3575,True
7a2b946f-2c1e-4777-9606-f3b380fbb071,2492,2,00:16:02.101,61,2,Substitution,103,Belgium,Regular Play,Belgium,Youri Tielemans,Left Defensive Midfield,0.0,3938645,Tactical,Orel Mangala,782,782,2954,103,8950,
82b24b9f-dd8c-4994-b6aa-12de3b70e4ca,2493,2,00:16:18.062,61,18,Substitution,103,Belgium,Regular Play,Belgium,Leandro Trossard,Right Wing,0.0,3938645,Tactical,Yannick Ferreira Carrasco,782,782,16559,103,5633,
d0966892-674a-43be-b482-fd692111c398,2767,2,00:24:35.449,69,35,Substitution,118,Belgium,Regular Play,Ukraine,Mykola Shaparenko,Right Center Midfield,0.0,3938645,Tactical,Vladyslav Vanat,782,911,21294,103,40141,
6d56fb01-4f99-4687-b94b-4031563c419b,2768,2,00:24:37.590,69,37,Substitution,118,Belgium,Regular Play,Ukraine,Volodymyr Brazhko,Center Defensive Midfield,0.0,3938645,Tactical,Taras Stepanenko,782,911,144127,103,11000,
9dde3871-8cf3-4c99-89a0-48703de435a1,2769,2,00:24:43.258,69,43,Substitution,118,Belgium,Regular Play,Ukraine,Roman Yaremchuk,Left Center Forward,0.0,3938645,Tactical,Ruslan Malinovskiy,782,911,23649,103,16557,
c119c010-f78e-458e-b69c-e4f26e422744,3062,2,00:31:45.924,76,45,Substitution,132,Belgium,From Throw In,Belgium,Jeremy Doku,Left Wing,0.0,3938645,Tactical,Johan Bakayoko,782,782,23650,103,52218,
