id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,interception_outcome,possession_team_id,team_id,player_id,counterpress,under_pressure
3c555ade-925e-47e2-92eb-a77c61e6466e,320,1,00:05:50.689,5,50,Interception,11,Netherlands,Regular Play,Turkey,Salih Özcan,Right Defensive Midfield,"[35.3, 13.8]",0.0,['09feb869-7f5c-4ebd-84fc-9b37a582b220'],3942382,Lost In Play,941,909,9085,,
e448fc26-79cf-4a6f-b5ce-2d7ecbda7bf9,821,1,00:18:35.296,18,35,Interception,24,Netherlands,From Throw In,Turkey,Salih Özcan,Right Defensive Midfield,"[65.7, 66.3]",0.0,['d38938cf-c109-4302-a58c-37af05600f7a'],3942382,Won,941,909,9085,,
75431eaf-d897-43d9-8e12-a43b668c9928,877,1,00:19:19.515,19,19,Interception,25,Turkey,Regular Play,Netherlands,Xavi Simons,Center Attacking Midfield,"[91.5, 5.5]",0.0,['eebefe1e-1bbb-4789-856b-9bb7dc9dac78'],3942382,Lost Out,909,941,39167,,
4580a480-5a45-4ce2-bfdd-232763b285f5,915,1,00:20:20.688,20,20,Interception,26,Turkey,From Throw In,Turkey,Arda Güler,Right Wing,"[105.5, 54.1]",0.0,['f522cacd-6ae9-4600-a6c9-3ad8521f5f74'],3942382,Won,909,909,116587,True,
d9016617-eef7-4df4-8d27-c4b043891481,1001,1,00:22:32.344,22,32,Interception,29,Turkey,From Throw In,Netherlands,Tijjani Reijnders,Left Defensive Midfield,"[35.3, 10.4]",0.0,['33887ae2-123c-426f-8229-706729c1666d'],3942382,Won,909,941,21582,,
0b468841-bba8-481e-9fb1-249194731a23,1234,1,00:29:12.552,29,12,Interception,37,Netherlands,From Goal Kick,Netherlands,Virgil van Dijk,Left Center Back,"[14.3, 28.7]",0.0,['8826d77e-899d-4d89-a205-8b3050adbad4'],3942382,Won,941,941,3669,,
f0816e37-6b5a-478c-a38a-17808ccb6b65,1267,1,00:31:38.811,31,38,Interception,40,Netherlands,From Throw In,Turkey,Mert Müldür,Right Wing Back,"[89.3, 75.4]",0.768028,['59e9ccc9-f73d-4a81-a327-8fd575c679ea'],3942382,Success In Play,941,909,10826,,
dc98457a-3021-4547-8558-bc5fe38b2c87,1324,1,00:33:36.096,33,36,Interception,44,Netherlands,From Goal Kick,Turkey,Hakan Çalhanoğlu,Left Defensive Midfield,"[78.6, 10.6]",0.0,['04227e31-00d5-43e4-93e0-d35d69c8f568'],3942382,Success In Play,941,909,7039,,
61bbfbd4-11af-4896-a9a8-05b6a026eb3a,1353,1,00:34:00.594,34,0,Interception,45,Turkey,Regular Play,Netherlands,Nathan Aké,Left Back,"[23.1, 33.3]",0.0,['85730582-7c07-4c17-a3ae-e0cc147668af'],3942382,Lost Out,909,941,3306,,
9a256236-ec99-49fb-8788-569c1ba15ae7,1525,1,00:38:41.844,38,41,Interception,49,Netherlands,From Throw In,Turkey,Salih Özcan,Right Defensive Midfield,"[43.8, 37.6]",0.0,['152cd688-d2f9-4e1e-9cfc-2f683e868dd5'],3942382,Success In Play,941,909,9085,,
