id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,location,duration,match_id,possession_team_id,team_id,off_camera
2e336770-705f-4dcd-a98b-b635a11f279a,3365,2,00:43:26.743,88,26,Referee Ball-Drop,151,Ukraine,Other,Ukraine,"[52.2, 40.1]",0.0,3938645,911,911,True
445c19fb-5aed-403f-8bb0-57c8c82d2156,3367,2,00:43:27.649,88,27,Referee Ball-Drop,153,Belgium,Other,Belgium,"[67.9, 40.0]",0.0,3938645,782,782,True
6f4c234b-8965-4246-9dfd-42151f8af6d2,1282,1,00:34:51.861,34,51,Referee Ball-Drop,63,Turkey,Other,Turkey,"[64.3, 26.2]",0.0,3930184,909,909,True
b5a1496d-6824-440d-bcda-9c9bbf887b3d,1283,1,00:34:52.020,34,52,Referee Ball-Drop,64,Czech Republic,Other,Czech Republic,"[55.8, 53.9]",0.0,3930184,912,912,
96b9d22b-2cf6-49dd-a75e-0a77685f155c,2938,2,00:45:01.162,90,1,Referee Ball-Drop,150,Netherlands,Other,Netherlands,"[62.6, 59.2]",0.0,3941021,941,941,True
8a30a1fd-6e2d-4b02-8dcf-0e73630d5afb,2939,2,00:45:01.298,90,1,Referee Ball-Drop,151,Romania,Other,Romania,"[57.8, 20.8]",0.0,3941021,905,905,True
b13b504a-1beb-4a37-999f-eaac2f5d26ef,1943,1,00:43:19.047,43,19,Referee Ball-Drop,57,France,Other,France,"[106.3, 40.6]",0.0,3941019,771,771,True
56595636-ffa7-4e19-818e-66358584aadf,3101,2,00:26:15.507,71,15,Referee Ball-Drop,103,Belgium,Other,Belgium,"[52.7, 64.8]",0.0,3941019,782,782,True
df22c57b-f285-4e82-8e25-2a611b3e1900,3103,2,00:26:21.945,71,21,Referee Ball-Drop,105,France,Other,France,"[81.2, 45.7]",0.0,3941019,771,771,True
c4e2ffa4-5fdc-4e8a-8b9e-7b9b7039270e,3814,2,00:44:53.920,89,53,Referee Ball-Drop,130,France,Other,France,"[45.3, 54.4]",0.0,3941019,771,771,True
8d54ff78-8673-47ec-b82e-c0445a45fda3,3815,2,00:44:54.452,89,54,Referee Ball-Drop,131,Belgium,Other,Belgium,"[74.4, 25.1]",0.0,3941019,782,782,True
a8bff66f-c78b-4181-9d1d-6d9fef084398,1563,1,00:40:32.273,40,32,Referee Ball-Drop,52,England,Other,England,"[54.5, 59.0]",0.0,3941017,768,768,True
c959f09e-f98c-4de2-b168-2435e211e14a,3344,2,00:34:21.348,79,21,Referee Ball-Drop,134,Serbia,Other,Serbia,"[73.7, 30.6]",0.0,3930182,786,786,
6ef22950-d47e-4e79-9445-51313c7c1e89,3345,2,00:34:21.420,79,21,Referee Ball-Drop,135,Denmark,Other,Denmark,"[46.4, 49.5]",0.0,3930182,776,776,
db041553-bd06-4b93-aade-9c32fd7db65f,2820,2,00:22:53.200,67,53,Referee Ball-Drop,105,Spain,Other,Spain,"[56.5, 54.5]",0.0,3930179,772,772,
4a948496-de0c-432d-9891-3bce72382e62,2821,2,00:22:54.497,67,54,Referee Ball-Drop,106,Albania,Other,Albania,"[63.1, 25.3]",0.0,3930179,906,906,True
0eaf5033-54c8-478c-9103-31bb451a383e,1487,1,00:39:35.422,39,35,Referee Ball-Drop,60,Denmark,Other,Denmark,"[61.7, 52.3]",0.0,3940983,776,776,
aa87cf16-2734-4e22-be39-59d078a85fb6,1488,1,00:39:35.469,39,35,Referee Ball-Drop,61,Germany,Other,Germany,"[58.1, 27.8]",0.0,3940983,770,770,
feaf5f45-cdb0-46f0-a7d2-37216cedb6a8,1139,1,00:28:58.980,28,58,Referee Ball-Drop,48,Hungary,Other,Hungary,"[66.4, 62.0]",0.0,3930177,916,916,
45d06a37-a8dc-4714-818e-e7b9117dfc81,1140,1,00:28:59.004,28,59,Referee Ball-Drop,49,Scotland,Other,Scotland,"[55.1, 18.1]",0.0,3930177,942,942,
6e8490dd-1b3e-4a91-8a79-6bbfc87a5bcc,2511,2,00:29:28.599,74,28,Referee Ball-Drop,113,Scotland,Other,Scotland,"[14.9, 6.2]",0.0,3930177,942,942,True
338ff2e6-d6ce-4ad2-aeac-7cee553394c6,2512,2,00:29:28.633,74,28,Referee Ball-Drop,114,Hungary,Other,Hungary,"[105.4, 73.9]",0.0,3930177,916,916,
0fde161a-0cf4-4a31-b5c9-c759a1d1af73,614,1,00:14:58.336,14,58,Referee Ball-Drop,24,Italy,Other,Italy,"[39.0, 60.6]",0.0,3930172,914,914,
7820a1e6-205b-4222-8a51-f4f39a659c29,615,1,00:14:58.459,14,58,Referee Ball-Drop,25,Spain,Other,Spain,"[81.1, 19.5]",0.0,3930172,772,772,
