id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,clearance_head,clearance_body_part,possession_team_id,team_id,player_id,out,clearance_right_foot,clearance_aerial_won,clearance_left_foot,clearance_other,off_camera
66308020-8f1c-4521-a3cc-21a090203516,283,1,00:06:39.508,6,39,Clearance,12,Scotland,From Free Kick,Hungary,Dominik Szoboszlai,Right Attacking Midfield,"[15.5, 45.6]",0.0,True,['412a3cd0-1b8b-46f3-a99c-8414dacc06e6'],3930177,True,Head,942,916,21209,,,,,,
26fbcdca-86e9-450d-b0fb-f1b89cf7d5d3,299,1,00:06:53.579,6,53,Clearance,12,Scotland,From Free Kick,Hungary,Willi Orban,Center Back,"[10.0, 35.3]",0.0,True,['b585f3bb-c798-48e6-a0c2-58ed5ca4e229'],3930177,True,Head,942,916,8509,,,,,,
03f0d160-3114-42ae-8f90-d5d49ec67a47,301,1,00:06:56.374,6,56,Clearance,12,Scotland,From Free Kick,Hungary,Milos Kerkez,Left Wing Back,"[9.4, 21.3]",0.0,True,,3930177,,Left Foot,942,916,89635,,,,True,,
eac16f83-013d-46f5-93af-91d795a7a723,716,1,00:16:30.431,16,30,Clearance,24,Scotland,Regular Play,Hungary,Willi Orban,Center Back,"[34.9, 45.2]",0.0,True,['ee2d3826-38dd-41f3-a490-46632182694d'],3930177,True,Head,942,916,8509,,,,,,
f52555c2-2582-485d-8300-d208b375502d,761,1,00:17:20.158,17,20,Clearance,27,Scotland,From Goal Kick,Hungary,Endre Botka,Right Center Back,"[54.9, 56.8]",0.0,True,"['ea24c1e1-ccaa-4567-bf7b-9124aa6c8380', 'f165d659-d2c4-4cfe-80b1-e80198a80bee']",3930177,True,Head,942,916,31887,,,True,,,
da15bc95-1228-4582-ae4b-392107676f2c,801,1,00:18:32.056,18,32,Clearance,28,Scotland,From Free Kick,Hungary,Willi Orban,Center Back,"[43.5, 56.2]",0.0,True,['ab08e6dd-8222-418a-93a7-c746c5a5a4a5'],3930177,,Other,942,916,8509,,,,,True,
92f8e903-657b-4a91-b41c-7c02149f1485,881,1,00:21:27.663,21,27,Clearance,33,Scotland,From Free Kick,Hungary,Dominik Szoboszlai,Right Attacking Midfield,"[10.0, 33.2]",0.0,True,['6934dc1b-ca3f-42c5-a936-cef549108450'],3930177,,Right Foot,942,916,21209,,True,,,,
501003ed-40b4-4659-985e-71cbb9ebf3f5,912,1,00:22:06.915,22,6,Clearance,33,Scotland,From Free Kick,Hungary,Endre Botka,Right Center Back,"[46.4, 76.4]",0.0,True,"['59be8af6-d83f-45f5-ba87-342abda1b939', 'cfa03685-0548-49db-94dd-65309be3caa9']",3930177,True,Head,942,916,31887,True,,True,,,
f5133dc2-a042-473b-bc87-ab6a59a93baa,989,1,00:23:53.394,23,53,Clearance,37,Hungary,From Goal Kick,Scotland,Jack Hendry,Right Center Back,"[54.5, 66.0]",0.0,True,"['305b5887-a2bb-49e1-9db3-dd6943a02cfa', 'b0ec81c6-2400-4e00-a444-34cbe004802d']",3930177,True,Head,916,942,11116,True,,True,,,
28aaed3a-5430-4e33-bdba-ede224937950,1072,1,00:26:25.876,26,25,Clearance,42,Scotland,From Free Kick,Hungary,Willi Orban,Center Back,"[13.6, 45.6]",0.0,True,['7c0fb41b-1c3e-4234-931c-6c0fff1c10c8'],3930177,True,Head,942,916,8509,,,,,,
